Date,Product,Menu,Type,Price,Unit,Total
2021-02-08,擂茶,ランチメニュー,ご飯,1000,1,1000
2021-02-08,春節お菓子,イベント,春節,1388,4,5552
2021-02-08,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,2,2980
2021-02-08,タンブラーバッグ,雑貨,トートバッグ,690,3,2070
2021-02-09,エビ麺,ランチメニュー,麺,1100,1,1100
2021-02-09,カレーラクサ麺,ランチメニュー,麺,900,3,2700
2021-02-09,ナシレマッ,ランチメニュー,ご飯,900,2,1800
2021-02-09,醤油チキンライス,ランチメニュー,ご飯,900,3,2700
2021-02-09,紅茶,ランチメニュー,セットドリンク,150,1,150
2021-02-09,コーヒー,ランチメニュー,セットドリンク,150,1,150
2021-02-09,オレンジジュース,ランチメニュー,セットドリンク,150,1,150
2021-02-09,タイガービール瓶,ディナーメニュー,アルコール,600,2,1200
2021-02-09,ナシレマッ,テイクアウト,ご飯,900,1,900
2021-02-09,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-09,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,5,4500
2021-02-09,テータリック,ランチメニュー,セットドリンク,150,5,750
2021-02-09,緑茶,ランチメニュー,セットドリンク,150,1,150
2021-02-09,全粒粉単品,アフタヌーンティー,単品,450,1,450
2021-02-09,擂茶,ランチメニュー,ご飯,1000,1,1000
2021-02-09,擂茶,ディナーメニュー,ご飯,1200,1,1200
2021-02-09,春巻きのｼｭｰｶﾞｰｽﾅｯｸ春捲糖酥餅,イベント,春節,688,2,1376
2021-02-09,海苔春巻き香脆紫菜酥捲,イベント,春節,888,1,888
2021-02-09,春節お菓子,イベント,春節,1388,5,6940
2021-02-09,紙袋,雑貨,包装,20,2,40
2021-02-10,エビ麺,ランチメニュー,麺,1100,3,3300
2021-02-10,カレーラクサ麺,ランチメニュー,麺,900,7,6300
2021-02-10,ナシレマッ,ランチメニュー,ご飯,900,6,5400
2021-02-10,醤油チキンライス,ランチメニュー,ご飯,900,2,1800
2021-02-10,オレンジジュース,ランチメニュー,セットドリンク,150,1,150
2021-02-10,カレーラクサ麺,ディナーメニュー,麺,1100,3,3300
2021-02-10,ナシレマッ,ディナーメニュー,ご飯,1100,1,1100
2021-02-10,テータリック,ディナーメニュー,ドリンク,350,1,350
2021-02-10,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-10,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,4,3600
2021-02-10,テータリック,ランチメニュー,セットドリンク,150,11,1650
2021-02-10,ホワイト単品,アフタヌーンティー,単品,390,1,390
2021-02-10,擂茶,ランチメニュー,ご飯,1000,5,5000
2021-02-10,春節お菓子,イベント,春節,1388,1,1388
2021-02-11,エビ麺,ディナーメニュー,麺,1300,1,1300
2021-02-11,カレーラクサ麺,ディナーメニュー,麺,1100,2,2200
2021-02-11,ナシレマッ,ディナーメニュー,ご飯,1100,6,6600
2021-02-11,醤油チキンライス,ディナーメニュー,ご飯,1100,4,4400
2021-02-11,野菜春雨炒め,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-11,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-11,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,4,2800
2021-02-11,仙草ゼリー,ディナーメニュー,デザート,350,1,350
2021-02-11,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,ディナーメニュー,デザート,500,4,2000
2021-02-11,テータリック,ディナーメニュー,ドリンク,350,5,1750
2021-02-11,コーヒー,ディナーメニュー,ドリンク,350,1,350
2021-02-11,コーラ,ディナーメニュー,ドリンク,300,1,300
2021-02-11,ビール,ディナーメニュー,アルコール,450,12,5400
2021-02-11,ミロ,ディナーメニュー,ドリンク,350,1,350
2021-02-11,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-11,ホワイト単品,アフタヌーンティー,単品,390,4,1560
2021-02-11,全粒粉単品,アフタヌーンティー,単品,450,1,450
2021-02-11,紅茶,アフタヌーンティー,セットドリンク,150,1,150
2021-02-11,テータリック,アフタヌーンティー,セットドリンク,150,2,300
2021-02-11,ミロ,アフタヌーンティー,セットドリンク,150,2,300
2021-02-11,ライムティー,ディナーメニュー,ドリンク,450,1,450
2021-02-11,擂茶,ディナーメニュー,ご飯,1200,8,9600
2021-02-11,魚生イーサン,イベント,春節,2688,3,8064
2021-02-11,魚生イーサン,イベント,春節,2688,1,2688
2021-02-11,春節お菓子,イベント,春節,1388,18,24984
2021-02-11,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,2,2980
2021-02-12,エビ麺,ランチメニュー,麺,1100,3,3300
2021-02-12,カレーラクサ麺,ランチメニュー,麺,900,4,3600
2021-02-12,ナシレマッ,ランチメニュー,ご飯,900,2,1800
2021-02-12,醤油チキンライス,ランチメニュー,ご飯,900,3,2700
2021-02-12,醤油チキンライス,ディナーメニュー,ご飯,1100,1,1100
2021-02-12,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-12,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-12,揚げ春巻き,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-12,仙草ゼリー,ディナーメニュー,デザート,350,1,350
2021-02-12,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,ディナーメニュー,デザート,500,2,1000
2021-02-12,テータリック,ディナーメニュー,ドリンク,350,1,350
2021-02-12,ビール,ディナーメニュー,アルコール,450,2,900
2021-02-12,タイガービール瓶,ディナーメニュー,アルコール,600,1,600
2021-02-12,マレーシア・マリング,ディナーメニュー,アルコール,550,1,550
2021-02-12,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-12,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,6,5400
2021-02-12,テータリック,ランチメニュー,セットドリンク,150,2,300
2021-02-12,ミロ,ランチメニュー,セットドリンク,150,1,150
2021-02-12,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-12,ホワイト単品,アフタヌーンティー,単品,390,1,390
2021-02-12,全粒粉単品,アフタヌーンティー,単品,450,2,900
2021-02-12,テータリック,アフタヌーンティー,セットドリンク,150,2,300
2021-02-12,ミロ,アフタヌーンティー,セットドリンク,150,1,150
2021-02-12,ドラゴンフルーツシャーベット,ディナーメニュー,デザート,350,1,350
2021-02-12,替玉,ディナーメニュー,麺,200,1,200
2021-02-12,ライムティー,ディナーメニュー,ドリンク,450,6,2700
2021-02-12,ライムティー,アフタヌーンティー,セットドリンク,350,2,700
2021-02-12,ダルゴナコーヒー,アフタヌーンティー,セットドリンク,350,1,350
2021-02-12,ダルゴナコーヒー,ディナーメニュー,ドリンク,500,2,1000
2021-02-12,擂茶,ランチメニュー,ご飯,1000,4,4000
2021-02-12,擂茶,ディナーメニュー,ご飯,1200,1,1200
2021-02-12,擂茶,テイクアウト,弁当,1000,4,4000
2021-02-12,魚生イーサン,イベント,春節,2688,1,2688
2021-02-12,魚生イーサン,イベント,春節,2688,2,5376
2021-02-12,春巻きのｼｭｰｶﾞｰｽﾅｯｸ春捲糖酥餅,イベント,春節,688,3,2064
2021-02-12,海苔春巻き香脆紫菜酥捲,イベント,春節,888,4,3552
2021-02-12,春節お菓子,イベント,春節,1388,4,5552
2021-02-12,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,1,1490
2021-02-13,エビ麺,ディナーメニュー,麺,1300,6,7800
2021-02-13,カレーラクサ麺,ディナーメニュー,麺,1100,8,8800
2021-02-13,ナシレマッ,ディナーメニュー,ご飯,1100,13,14300
2021-02-13,醤油チキンライス,ディナーメニュー,ご飯,1100,5,5500
2021-02-13,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,4,2800
2021-02-13,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,5,3500
2021-02-13,茹で野菜自家製ソース,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-13,揚げ春巻き,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-13,揚げ饅頭ｶﾚｰﾁｷﾝ付,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,3,2100
2021-02-13,チキンライス,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,200,2,400
2021-02-13,仙草ゼリー,ディナーメニュー,デザート,350,1,350
2021-02-13,テータリック,ディナーメニュー,ドリンク,350,9,3150
2021-02-13,コーヒー,ディナーメニュー,ドリンク,350,1,350
2021-02-13,ビール,ディナーメニュー,アルコール,450,8,3600
2021-02-13,ミロ,ディナーメニュー,ドリンク,350,3,1050
2021-02-13,タイガービール瓶,ディナーメニュー,アルコール,600,2,1200
2021-02-13,カールスバーグ瓶,ディナーメニュー,アルコール,400,2,800
2021-02-13,紹興酒,ディナーメニュー,アルコール,480,1,480
2021-02-13,レモンサワー,ディナーメニュー,アルコール,550,1,550
2021-02-13,マレーシア・マリング,ディナーメニュー,アルコール,550,4,2200
2021-02-13,ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,ディナーメニュー,アルコール,550,4,2200
2021-02-13,赤グラスワイン,ディナーメニュー,アルコール,550,2,1100
2021-02-13,カレーラクサ麺,テイクアウト,麺,900,1,900
2021-02-13,ナシレマッ,テイクアウト,ご飯,900,1,900
2021-02-13,ｶﾎﾞﾁｬﾉひき肉和え,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-13,ﾆﾝﾆｸ味茹で豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-13,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,4,2800
2021-02-13,ホワイト単品,アフタヌーンティー,単品,390,7,2730
2021-02-13,全粒粉単品,アフタヌーンティー,単品,450,2,900
2021-02-13,シフォンケーキ単品,アフタヌーンティー,単品,500,4,2000
2021-02-13,紅茶,アフタヌーンティー,セットドリンク,150,1,150
2021-02-13,コーヒー,アフタヌーンティー,セットドリンク,150,1,150
2021-02-13,テータリック,アフタヌーンティー,セットドリンク,150,2,300
2021-02-13,ドラゴンフルーツシャーベット,ディナーメニュー,デザート,350,2,700
2021-02-13,ライムティー,ディナーメニュー,ドリンク,450,10,4500
2021-02-13,ダルゴナコーヒー,ディナーメニュー,ドリンク,500,7,3500
2021-02-13,擂茶,ディナーメニュー,ご飯,1200,10,12000
2021-02-13,魚生イーサン,イベント,春節,2688,5,13440
2021-02-13,魚生イーサン,イベント,春節,2688,1,2688
2021-02-13,海苔春巻き香脆紫菜酥捲,イベント,春節,888,1,888
2021-02-13,春節お菓子,イベント,春節,1388,2,2776
2021-02-13,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,1,1490
2021-02-16,エビ麺,ランチメニュー,麺,1100,2,2200
2021-02-16,カレーラクサ麺,ランチメニュー,麺,900,5,4500
2021-02-16,ナシレマッ,ランチメニュー,ご飯,900,2,1800
2021-02-16,醤油チキンライス,ランチメニュー,ご飯,900,4,3600
2021-02-16,コーヒー,ランチメニュー,セットドリンク,150,3,450
2021-02-16,ナシレマッ,テイクアウト,ご飯,900,2,1800
2021-02-16,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,2,1800
2021-02-16,テータリック,ランチメニュー,セットドリンク,150,5,750
2021-02-16,ミロ,ランチメニュー,セットドリンク,150,3,450
2021-02-16,緑茶,ランチメニュー,セットドリンク,150,1,150
2021-02-16,ホワイト単品,テイクアウト,弁当,390,1,390
2021-02-16,擂茶,ランチメニュー,ご飯,1000,5,5000
2021-02-16,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,1,1490
2021-02-16,タンブラーバッグ,雑貨,トートバッグ,690,1,690
2021-02-17,エビ麺,ランチメニュー,麺,1100,2,2200
2021-02-17,カレーラクサ麺,ランチメニュー,麺,900,3,2700
2021-02-17,ナシレマッ,ランチメニュー,ご飯,900,2,1800
2021-02-17,醤油チキンライス,ランチメニュー,ご飯,900,4,3600
2021-02-17,コーヒー,ランチメニュー,セットドリンク,150,1,150
2021-02-17,エビ麺,ディナーメニュー,麺,1300,1,1300
2021-02-17,カレーラクサ麺,ディナーメニュー,麺,1100,5,5500
2021-02-17,ナシレマッ,ディナーメニュー,ご飯,1100,3,3300
2021-02-17,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,3,2100
2021-02-17,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-17,茹で野菜自家製ソース,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-17,揚げ春巻き,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,3,2100
2021-02-17,仙草ゼリー,ディナーメニュー,デザート,350,7,2450
2021-02-17,紅茶,ディナーメニュー,ドリンク,350,2,700
2021-02-17,コーヒー,ディナーメニュー,ドリンク,350,3,1050
2021-02-17,オレンジジュース,ディナーメニュー,ドリンク,300,1,300
2021-02-17,ビール,ディナーメニュー,アルコール,450,11,4950
2021-02-17,ハイボールｿｰﾀﾞ割り,ディナーメニュー,アルコール,450,8,3600
2021-02-17,ミロ,ディナーメニュー,ドリンク,350,1,350
2021-02-17,緑茶,ディナーメニュー,ドリンク,300,1,300
2021-02-17,オールフリー瓶,ディナーメニュー,ドリンク,400,2,800
2021-02-17,レモンサワー,ディナーメニュー,アルコール,550,6,3300
2021-02-17,ナシレマッ,テイクアウト,ご飯,900,2,1800
2021-02-17,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,4,3600
2021-02-17,テータリック,ランチメニュー,セットドリンク,150,2,300
2021-02-17,緑茶,ランチメニュー,セットドリンク,150,1,150
2021-02-17,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,4,2800
2021-02-17,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,テイクアウト,デザート,500,1,500
2021-02-17,全粒粉単品,アフタヌーンティー,単品,450,1,450
2021-02-17,テータリック,アフタヌーンティー,セットドリンク,150,1,150
2021-02-17,全粒粉単品,テイクアウト,弁当,450,1,450
2021-02-17,替玉,ディナーメニュー,麺,200,2,400
2021-02-17,テータリック,テイクアウト,ﾗﾝﾁセットドリンク,150,1,150
2021-02-17,擂茶,ランチメニュー,ご飯,1000,6,6000
2021-02-17,擂茶,テイクアウト,弁当,1000,1,1000
2021-02-17,魚生イーサン,イベント,春節,2688,1,2688
2021-02-17,春節お菓子,イベント,春節,1388,3,4164
2021-02-17,トートバッグ（ﾅｼﾚﾏｯ）,雑貨,トートバッグ,1490,7,10430
2021-02-18,エビ麺,ランチメニュー,麺,1100,4,4400
2021-02-18,カレーラクサ麺,ランチメニュー,麺,900,3,2700
2021-02-18,ナシレマッ,ランチメニュー,ご飯,900,3,2700
2021-02-18,醤油チキンライス,ランチメニュー,ご飯,900,4,3600
2021-02-18,コーヒー,ランチメニュー,セットドリンク,150,2,300
2021-02-18,野菜春雨炒め,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-18,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-18,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-18,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,ディナーメニュー,デザート,500,1,500
2021-02-18,テータリック,ディナーメニュー,ドリンク,350,1,350
2021-02-18,ハイボールｿｰﾀﾞ割り,ディナーメニュー,アルコール,450,1,450
2021-02-18,ミロ,ディナーメニュー,ドリンク,350,1,350
2021-02-18,タイガービール瓶,ディナーメニュー,アルコール,600,1,600
2021-02-18,マレーシア・マリング,ディナーメニュー,アルコール,550,1,550
2021-02-18,ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,ディナーメニュー,アルコール,550,1,550
2021-02-18,赤グラスワイン,ディナーメニュー,アルコール,550,2,1100
2021-02-18,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,2,1800
2021-02-18,テータリック,ランチメニュー,セットドリンク,150,13,1950
2021-02-18,ホワイト単品,アフタヌーンティー,単品,390,2,780
2021-02-18,ホワイト単品,テイクアウト,弁当,390,2,780
2021-02-18,擂茶,ランチメニュー,ご飯,1000,5,5000
2021-02-18,擂茶,ディナーメニュー,ご飯,1200,1,1200
2021-02-18,タンブラーバッグ,雑貨,トートバッグ,690,2,1380
2021-02-19,エビ麺,ランチメニュー,麺,1100,1,1100
2021-02-19,カレーラクサ麺,ランチメニュー,麺,900,4,3600
2021-02-19,ナシレマッ,ランチメニュー,ご飯,900,5,4500
2021-02-19,醤油チキンライス,ランチメニュー,ご飯,900,3,2700
2021-02-19,紅茶,ランチメニュー,セットドリンク,150,1,150
2021-02-19,コーヒー,ランチメニュー,セットドリンク,150,2,300
2021-02-19,カレーラクサ麺,ディナーメニュー,麺,1100,1,1100
2021-02-19,テータリック,ディナーメニュー,ドリンク,350,2,700
2021-02-19,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-19,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,3,2700
2021-02-19,テータリック,ランチメニュー,セットドリンク,150,3,450
2021-02-19,ミロ,ランチメニュー,セットドリンク,150,3,450
2021-02-19,ホワイト単品,アフタヌーンティー,単品,390,1,390
2021-02-19,テータリック,アフタヌーンティー,セットドリンク,150,1,150
2021-02-19,替玉,ディナーメニュー,麺,200,1,200
2021-02-19,擂茶,ランチメニュー,ご飯,1000,2,2000
2021-02-19,擂茶,ディナーメニュー,ご飯,1200,1,1200
2021-02-19,魚生イーサン,イベント,春節,2688,1,2688
2021-02-19,タンブラーバッグ,雑貨,トートバッグ,690,1,690
2021-02-20,エビ麺,ディナーメニュー,麺,1300,3,3900
2021-02-20,カレーラクサ麺,ディナーメニュー,麺,1100,1,1100
2021-02-20,ナシレマッ,ディナーメニュー,ご飯,1100,8,8800
2021-02-20,醤油チキンライス,ディナーメニュー,ご飯,1100,3,3300
2021-02-20,野菜春雨炒め,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-20,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,4,2800
2021-02-20,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-20,揚げ春巻き,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-20,揚げ饅頭ｶﾚｰﾁｷﾝ付,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-20,チキンライス,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,200,1,200
2021-02-20,仙草ゼリー,ディナーメニュー,デザート,350,2,700
